prgrm_type,prgrm_name,total_credits,major_credits,UL_total_credits,UL_major_credits,total_GPA,major_GPA,stream1,stream2,stream3,stream4,stream5,2023,2024,2025,2026
Major,Art + Design ,122,52-56,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-art-design-major-merged.pdf,,,
Major,Media & Communication,122,45,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-media-and-communication-general-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-media-and-communications-ba-media-studies-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-media-and-communication-ba-leadership-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-media-and-communication-ba-professional-writing-stream-merged.pdf,,,
Major,Music,126,52,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-music-major-merged.pdf,,,
Major,Game Development,122,See Streams,42,24,2.00,2.00,Art (66),Design (63),Music+sound (63),Software dev (63),Addt'l Internship (1sh),https://www.twu.ca/sites/default/files/2023-05/2023-24-game-development-major-music-sound-design-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-development-major-software-development-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-art-stream-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-game-design-stream-merged.pdf,,,
Major,"Arts, Media, Culture double Concentration",122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-arts-media-culture-double-concentration.pdf,,,
Major,"Arts, Media, Culture",122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-arts-media-culture-major.pdf,,,
Major,Bachelor of Business Administration,122,60,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-business-admin-merged.pdf,,,
Major,Bachelor of Business Administration (Honours),134,72,54,36,3.00,3.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-business-admin-honours-merged.pdf,,,
Major,Business Administration (BA),122,48,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-bachelor-of-arts-business-admin-merged.pdf,,,
Major,Bachelor of Sports management,122,69,42,24,2.00,2.00,,,,,,,,,
Major,Bachelor of Human Kinetics,122,See Streams,42,24,2.00,2.00,General (60-67),Coaching (69),Kinesiology (81),Sports management (78-84),,https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-generalist-merged.pdf ; https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-bhk-kinesiology-merged.pdf,,,
Major,Human Kinetics (BA),122,45-54,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-human-kinetics-ba-merged.pdf,,,
Major,Nursing,129,83,42,24,2.00,2.00,,,,,,https://www.twu.ca/sites/default/files/2023-05/2023-24-nursing-major-merged.pdf,,,
Major,Leadership,122,42,42,24,2.00,2.00,,,,,,,,,
Minor,English Minor,24,,12,,2.00,,,,,,,,,,
Minor,Biblical Studies,24,,12,,2.00,,,,,,,,,,
Minor,Theology,24,,9,,2.00,,,,,,,,,,
Minor,Intercultural Religious Studies,24,,12,,2.00,,,,,,,,,,
Minor,Catholic Studies,24,,12,,2.00,,,,,,,,,,
Minor,Geography,24,,12,,2.00,,,,,,,,,,
Minor,Environmental Studies (BA),24,,12,,2.00,,,,,,,,,,
Minor,Environmental Studies (BSC),26,,9,,2.00,,,,,,,,,,
Minor,History,30,,12,,2.00,,,,,,,,,,
Minor,Political Studies,30,,12,,2.00,,,,,,,,,,
Minor,International Development Studies,30,,12,,2.00,,,,,,,,,,
Minor,Applied Linguistics,30,,12,,2.00,,,,,,,,,,
Minor,Philosophy,24,,12,,2.00,,,,,,,,,,
Minor,Psychology,24,,12,,2.00,,,,,,,,,,
Minor,Sociology,24,,12,,2.00,,,,,,,,,,
Minor,French Lang. +Lit.,24,,12,,2.00,,,,,,,,,,
Minor,French Studies,24,,12,,2.00,,,,,,,,,,
Minor,Spanish,24,,12,,2.00,,,,,,,,,,
Minor,Social Studies,24,,12,,2.00,,,,,,,,,,
Minor,Biology,26,,9,,2.00,,,,,,,,,,
Minor,Chemistry,26,,9,,2.00,,,,,,,,,,
Minor,Computing Science,24,,9,,2.00,,,,,,,,,,
Minor,Mathematics,24,,9,,2.00,,,,,,,,,,
Minor,Art + Design (Design stream),24,,12,,2.00,,,,,,,,,,
Minor,Art + Design (Historical stream),24,,12,,2.00,,,,,,,,,,
Minor,Art + Design (Studio stream),24,,12,,2.00,,,,,,,,,,
Minor,Game Development,24,,12,,2.00,,,,,,,,,,
Minor,Media & Communication,24,,12,,2.00,,,,,,,,,,
Minor,Media & Communication: Film Studies,24,,12,,2.00,,,,,,,,,,
Minor,Media & Communication: Pro. Writing,24,,12,,2.00,,,,,,,,,,
Minor,Music,30,,12,,2.00,,,,,,,,,,
Minor,Music Education,24,,9,,2.00,,,,,,,,,,
Minor,Human Kinetics,24,,9,,2.00,,,,,,,,,,
Minor,Physical Education,24,,9,,2.00,,,,,,,,,,
Minor,Education,24,,12,,2.00,,,,,,,,,,
Minor,Inclusive Ed. (Educ students),25,,12,,2.00,,,,,,,,,,
Minor,Inclusive Ed. (non-Educ students),28,,12,,2.00,,,,,,,,,,
Minor,Business Administration,24,,9,,2.00,,,,,,,,,,
Minor,Economics,24,,12,,2.00,,,,,,,,,,
Minor,Accounting (BBA or BA Business students),24,,12,,2.00,,,,,,,,,,
Minor,Accounting (non - BBA or BA Business students),24,,12,,2.00,,,,,,,,,,
Minor,Gender Studies,24,,12,,2.00,,,,,,,,,,
Concentration,English Concentration,30,,15,,2.00,,,,,,,,,,
Concentration,Biblical Studies,30,,15,,2.00,,,,,,,,,,
Concentration,Theology,30,,12,,2.00,,,,,,,,,,
Concentration,Geography,30,,15,,2.00,,,,,,,,,,
Concentration,History,24,,12,,2.00,,,,,,,,,,
Concentration,Political Studies,24,,12,,2.00,,,,,,,,,,
Concentration,International Development Studies,24,,12,,2.00,,,,,,,,,,
Concentration,Applied Linguistics,24,,12,,2.00,,,,,,,,,,
Concentration,Philosophy,30,,15,,2.00,,,,,,,,,,
Concentration,Psychology,30,,12,,2.00,,,,,,,,,,
Concentration,Sociology,30,,12,,2.00,,,,,,,,,,
Concentration,French Lang. +Lit.,30,,18,,2.00,,,,,,,,,,
Concentration,French Studies,30,,18,,2.00,,,,,,,,,,
Concentration,Spanish,30,,18,,2.00,,,,,,,,,,
Concentration,Biology,32,,12,,2.00,,,,,,,,,,
Concentration,Chemistry,32,,12,,2.00,,,,,,,,,,
Concentration,Computing Science,30,,12,,2.00,,,,,,,,,,
Concentration,Mathematics,30,,12,,2.00,,,,,,,,,,
Concentration,Art + Design,30,,12,,2.00,,,,,,,,,,
Concentration,Game Development,30,,12,,2.00,,,,,,,,,,
Concentration,Media & Communication,30,,15,,2.00,,,,,,,,,,
Concentration,Media & Communication: Film Studies,30,,15,,2.00,,,,,,,,,,
Concentration,Music,24,,9,,2.00,,,,,,,,,,
Concentration,Music Education,30,,12,,2.00,,,,,,,,,,
Concentration,Human Kinetics,30,,12,,2.00,,,,,,,,,,
Concentration,Education,30,,12,,2.00,,,,,,,,,,
Concentration,Business Administration,30,,12,,2.00,,,,,,,,,,
Concentration,Economics,30,,12,,2.00,,,,,,,,,,
Major,Concurrent 5-year Education (K-7),,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-concurrent-ba-bsc-bed-k-7-merged.pdf,,,
Major,Concurrent 5-year Education (Secondary),,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-09/2023-24-education-concurrent-ba-bsc-bed-secondary-merged.pdf,,,
Major,5-year B.Ed program,,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-5-yr-bed-merged.pdf,,,
Major,2-year post degree Education program,,,,,,,,,,,,https://www.twu.ca/sites/default/files/2023-06/2023-24-education-post-degree.pdf,,,
